T0,T0 confidence,T1,T1 confidence,T2,T2 confidence,T3,T3 confidence
T1105,1.0,T1187,1.0,T1566.001,1.0,T1195,1.0
T1105.7,0.867,T1003.1,0.467,T1195,0.4,T1566.001,0.4
T1105.8,0.867,T1003.2,0.4,,,,
T1572.1,0.467,T1003.3,0.4,,,,
T1572.2,0.467,T1003.4,0.467,,,,
T1572.3,0.467,T1003.5,0.4,,,,
T1573.1,0.467,T1056.001.1,0.533,,,,
,,T1110.001,0.4,,,,
