T0,T0 confidence,T1,T1 confidence,T2,T2 confidence,T3,T3 confidence
T1105,1.0,T1187,1.0,T1566.001,1.0,T1195,1.0
T1105.2,0.933,T1056.001.1,0.533,,,,
T1105.7,0.867,,,,,,
T1105.8,0.867,,,,,,
